CRN,TERM,SUBJECT,COURSE_NUM,SECTION_NUM,SECTION_ID,INCL_EXCL_IND,RESTRICTION_TYPE,RESTRICTION_CODE,RESTRICTION_DESC
40002,202220,ACCT,1010,910,ACCT1010910,E,Attribute,PCFR,Penn Classification Freshman
40002,202220,ACCT,1010,910,ACCT1010910,E,Division,AB,LPS BAAS and Online Certs
40002,202220,ACCT,1010,910,ACCT1010910,E,Division,AL,LPS UG Programs
40002,202220,ACCT,1010,910,ACCT1010910,E,Division,AM,LPS Prof Masters
40001,202220,ACCT,1020,920,ACCT1020920,E,Attribute,PCFR,Penn Classification Freshman
40001,202220,ACCT,1020,920,ACCT1020920,E,Division,AB,LPS BAAS and Online Certs
40001,202220,ACCT,1020,920,ACCT1020920,E,Division,AL,LPS UG Programs
40001,202220,ACCT,1020,920,ACCT1020920,E,Division,AM,LPS Prof Masters
41948,202220,ACCT,6030B,001,ACCT6030B001,I,Division,WM,Wharton Graduate
41213,202220,ACCT,6130,701,ACCT6130701,I,Program,WX_MBA_PHL,WH Exec Master of Bus Admin
41216,202220,ACCT,6130,702,ACCT6130702,I,Program,WX_MBA_PHL,WH Exec Master of Bus Admin
41378,202220,ACCT,6130,751,ACCT6130751,I,Program,WX_MBA_SFO,WH Exec Master of Bus Admin
41379,202220,ACCT,6130,752,ACCT6130752,I,Program,WX_MBA_SFO,WH Exec Master of Bus Admin
41360,202220,ACCT,7470,751,ACCT7470751,I,Program,WX_MBA_PHL,WH Exec Master of Bus Admin
41360,202220,ACCT,7470,751,ACCT7470751,I,Program,WX_MBA_SFO,WH Exec Master of Bus Admin
41788,202220,AFRC,5470,940,AFRC5470940,I,Degree,MLIBA,Master of Liberal Arts
41788,202220,AFRC,5470,940,AFRC5470940,I,Degree,MPHIL,Master of Philosophy
40570,202220,ANAT,5130,900,ANAT5130900,I,Division,AL,LPS UG Programs
40570,202220,ANAT,5130,900,ANAT5130900,I,Division,AM,LPS Prof Masters
40569,202220,ANAT,5140,900,ANAT5140900,I,Division,AL,LPS UG Programs
40569,202220,ANAT,5140,900,ANAT5140900,I,Division,AM,LPS Prof Masters
40568,202220,ANAT,5150,900,ANAT5150900,I,Division,AL,LPS UG Programs
40568,202220,ANAT,5150,900,ANAT5150900,I,Division,AM,LPS Prof Masters
40567,202220,ANAT,5160,900,ANAT5160900,I,Division,AL,LPS UG Programs
40567,202220,ANAT,5160,900,ANAT5160900,I,Division,AM,LPS Prof Masters
40566,202220,ANAT,5170,900,ANAT5170900,I,Division,AL,LPS UG Programs
40566,202220,ANAT,5170,900,ANAT5170900,I,Division,AM,LPS Prof Masters
40565,202220,ANAT,5180,900,ANAT5180900,I,Division,AL,LPS UG Programs
40565,202220,ANAT,5180,900,ANAT5180900,I,Division,AM,LPS Prof Masters
41628,202220,ANAT,5190,900,ANAT5190900,I,Division,AL,LPS UG Programs
41628,202220,ANAT,5190,900,ANAT5190900,I,Division,AM,LPS Prof Masters
41499,202220,ANTH,5470,401,ANTH5470401,I,Special Approval,DP,Perm Needed From Department
41645,202220,APOP,1000,909,APOP1000909,I,Program,AB_BAAS_ONL,LPS Bach Appl Arts & Sciences
41645,202220,APOP,1000,909,APOP1000909,I,Program,AB_CERTA_OL,LPS Online Undergrad Adv Cert
41645,202220,APOP,1000,909,APOP1000909,I,Program,AB_CRT_UG_OL,LPS Online Undergraduate Cert
41645,202220,APOP,1000,909,APOP1000909,I,Program,AB_NG_GENONL,LPS Nondeg General Online
41645,202220,APOP,1000,909,APOP1000909,I,Program,AL_BFA,LPS Bachelor of Fine Arts
41645,202220,APOP,1000,909,APOP1000909,I,Program,AL_NONDG_CAL,Penn Alumni Program
41645,202220,APOP,1000,909,APOP1000909,I,Program,AL_NONDG_CPB,Post-Bacc Undergrad Study
41117,202220,ARCH,3030,920,ARCH3030920,I,Special Approval,DP,Perm Needed From Department
41118,202220,ARCH,5000,901,ARCH5000901,I,Degree,MARCH,Master of Architecture
41119,202220,ARCH,7070,901,ARCH7070901,I,Degree,MSDES,Master of Science in Design
41120,202220,ARCH,7070,902,ARCH7070902,I,Degree,MSDES,Master of Science in Design
41121,202220,ARCH,7070,903,ARCH7070903,I,Degree,MSDES,Master of Science in Design
41122,202220,ARCH,7070,904,ARCH7070904,I,Degree,MSDES,Master of Science in Design
41104,202220,ARCH,7150,201,ARCH7150201,I,Degree,MSDES,Master of Science in Design
41105,202220,ARCH,7470,201,ARCH7470201,I,Degree,MSDES,Master of Science in Design
41123,202220,ARCH,7910,901,ARCH7910901,I,Degree,MARCH,Master of Architecture
41018,202220,ARCH,7930,901,ARCH7930901,I,Degree,MARCH,Master of Architecture
41019,202220,ARCH,7940,901,ARCH7940901,I,Degree,MARCH,Master of Architecture
41020,202220,ARCH,7990,901,ARCH7990901,I,Degree,MEBD,Master in Environ Bldg Design
41020,202220,ARCH,7990,901,ARCH7990901,I,Degree,MSDES,Master of Science in Design
41321,202220,ARCH,8000,901,ARCH8000901,I,Degree,MSDES,Master of Science in Design
41021,202220,ARCH,8150,901,ARCH8150901,I,Special Approval,DP,Perm Needed From Department
40954,202220,ASLD,0340,980,ASLD0340980,I,Special Approval,LC,Penn Lang Center Perm needed
41161,202220,BDS,5030,975,BDS5030975,I,Major,BADS,Behavioral & Decision Sciences
41161,202220,BDS,5030,975,BDS5030975,I,Special Approval,DP,Perm Needed From Department
40996,202220,BDS,5060,976,BDS5060976,I,Classification,GM,"Graduate, Masters Candidate"
40996,202220,BDS,5060,976,BDS5060976,I,Classification,GR,Graduate
40996,202220,BDS,5060,976,BDS5060976,I,Classification,PR,Professional
40995,202220,BDS,5090,976,BDS5090976,I,Major,BADS,Behavioral & Decision Sciences
40994,202220,BDS,5850,975,BDS5850975,I,Major,BADS,Behavioral & Decision Sciences
41852,202220,BDS,5991,975,BDS5991975,I,Special Approval,DP,Perm Needed From Department
41923,202220,BDS,5991,977,BDS5991977,I,Special Approval,DP,Perm Needed From Department
41924,202220,BDS,5991,978,BDS5991978,I,Special Approval,DP,Perm Needed From Department
41818,202220,BDS,5999,975,BDS5999975,I,Major,BADS,Behavioral & Decision Sciences
42031,202220,BDS,5999,976,BDS5999976,I,Special Approval,DP,Perm Needed From Department
41159,202220,BDS,9900,975,BDS9900975,I,Major,BADS,Behavioral & Decision Sciences
40003,202220,BE,4900,910,BE4900910,I,Special Approval,DP,Perm Needed From Department
40004,202220,BE,5970,901,BE5970901,I,Special Approval,DP,Perm Needed From Department
40005,202220,BE,5970,910,BE5970910,I,Special Approval,DP,Perm Needed From Department
40006,202220,BE,5970,920,BE5970920,I,Special Approval,DP,Perm Needed From Department
40007,202220,BE,5990,901,BE5990901,I,Special Approval,DP,Perm Needed From Department
40009,202220,BE,5990,920,BE5990920,I,Special Approval,DP,Perm Needed From Department
40013,202220,BE,9900,901,BE9900901,I,Special Approval,DP,Perm Needed From Department
41715,202220,BEPP,9990,900,BEPP9990900,I,Division,WP,Wharton PhD
41429,202220,BIOE,5750,751,BIOE5750751,I,Program,WX_MBA_PHL,WH Exec Master of Bus Admin
41429,202220,BIOE,5750,751,BIOE5750751,I,Program,WX_MBA_SFO,WH Exec Master of Bus Admin
41926,202220,BIOE,6050,001,BIOE6050001,I,Special Approval,DP,Perm Needed From Department
41927,202220,BIOE,6060,001,BIOE6060001,I,Special Approval,DP,Perm Needed From Department
41928,202220,BIOE,6070,001,BIOE6070001,I,Special Approval,DP,Perm Needed From Department
41929,202220,BIOE,6080,001,BIOE6080001,I,Special Approval,DP,Perm Needed From Department
41930,202220,BIOE,7010,001,BIOE7010001,I,Special Approval,DP,Perm Needed From Department
41005,202220,BIOE,9960,001,BIOE9960001,I,Degree,MBE,Master of Bioethics
41666,202220,BIOE,9990,001,BIOE9990001,I,Special Approval,DP,Perm Needed From Department
40988,202220,BIOL,1101,910,BIOL1101910,I,Major,PHCS,Pre-Health Core Studies
40988,202220,BIOL,1101,910,BIOL1101910,I,Major,PHSS,Pre-Health Specialized Stds
41076,202220,BIOL,1101,911,BIOL1101911,I,Major,PHCS,Pre-Health Core Studies
41076,202220,BIOL,1101,911,BIOL1101911,I,Major,PHSS,Pre-Health Specialized Stds
41089,202220,BIOL,1101,912,BIOL1101912,I,Major,PHCS,Pre-Health Core Studies
41089,202220,BIOL,1101,912,BIOL1101912,I,Major,PHSS,Pre-Health Specialized Stds
41094,202220,BIOL,1102,920,BIOL1102920,I,Major,PHCS,Pre-Health Core Studies
41094,202220,BIOL,1102,920,BIOL1102920,I,Major,PHSS,Pre-Health Specialized Stds
41095,202220,BIOL,1102,921,BIOL1102921,I,Major,PHCS,Pre-Health Core Studies
41095,202220,BIOL,1102,921,BIOL1102921,I,Major,PHSS,Pre-Health Specialized Stds
41097,202220,BIOL,2001,900,BIOL2001900,I,Major,PHCS,Pre-Health Core Studies
41097,202220,BIOL,2001,900,BIOL2001900,I,Major,PHSS,Pre-Health Specialized Stds
41098,202220,BIOL,2001,901,BIOL2001901,I,Major,PHCS,Pre-Health Core Studies
41098,202220,BIOL,2001,901,BIOL2001901,I,Major,PHSS,Pre-Health Specialized Stds
41099,202220,BIOL,2701,910,BIOL2701910,I,Major,PHCS,Pre-Health Core Studies
41099,202220,BIOL,2701,910,BIOL2701910,I,Major,PHSS,Pre-Health Specialized Stds
41100,202220,BIOL,2701,911,BIOL2701911,I,Major,PHCS,Pre-Health Core Studies
41100,202220,BIOL,2701,911,BIOL2701911,I,Major,PHSS,Pre-Health Specialized Stds
41101,202220,BIOL,2801,900,BIOL2801900,I,Major,PHCS,Pre-Health Core Studies
41101,202220,BIOL,2801,900,BIOL2801900,I,Major,PHSS,Pre-Health Specialized Stds
41102,202220,BIOL,4004,900,BIOL4004900,I,Major,PHCS,Pre-Health Core Studies
41102,202220,BIOL,4004,900,BIOL4004900,I,Major,PHSS,Pre-Health Specialized Stds
41103,202220,BIOL,4007,900,BIOL4007900,I,Major,PHCS,Pre-Health Core Studies
41103,202220,BIOL,4007,900,BIOL4007900,I,Major,PHSS,Pre-Health Specialized Stds
41892,202220,BIOM,5900,001,BIOM5900001,I,Division,MP,Biomedical PhD
41716,202220,BMIN,7990,001,BMIN7990001,I,Special Approval,DP,Perm Needed From Department
41580,202220,CBE,5560,910,CBE5560910,I,Special Approval,DP,Perm Needed From Department
40019,202220,CBE,5970,901,CBE5970901,I,Special Approval,DP,Perm Needed From Department
40021,202220,CBE,5970,920,CBE5970920,I,Special Approval,DP,Perm Needed From Department
40022,202220,CBE,5990,901,CBE5990901,I,Special Approval,DP,Perm Needed From Department
40023,202220,CBE,5990,910,CBE5990910,I,Special Approval,DP,Perm Needed From Department
40024,202220,CBE,5990,920,CBE5990920,I,Special Approval,DP,Perm Needed From Department
